Title,Content,Poetry Collection,URL,Writer
Ở lại đi!,"Nơi này còn một câu chuyện vui chưa hết
tiếng cười chưa dứt
đêm chưa về sáng...

Nơi này còn cần một người để lau nước mắt
cần một tiếng thở dài đồng cảm
cần một cái lay vai thức tỉnh...

Nơi này còn những ngày thật ngắn
còn những đêm thật dài
còn những bình minh một người chưa thức giấc
những hoàng hôn một người đã chợp mắt...

Nơi này còn cần một giọng nói tha thiết
còn cần một tấm lòng thành thật
còn cần những ước mơ viển vông...

Nơi này còn một giấc ngủ bình yên
còn một cơn gió về thật nhẹ
còn một ánh trăng qua cửa...

Ở lại đi.
nơi này còn cần tất cả!",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/%E1%BB%9E-l%E1%BA%A1i-%C4%91i/poem-eDV9rxuBMjLItEmEKrgIzg,Nguyễn Phong Việt
Không phải lỗi của hoa hồng vàng,"Một ngày tình yêu gõ cửa
của ngôi nhà có hoa hồng vàng nở suốt bốn mùa đón gió
người con gái cười xinh
bình yên.

Nhưng cuộc đời luôn có những lý lẽ riêng
sáng nắng, chiều mưa, và đêm về trong bão
hoa hồng vàng thay những cánh hoa đầu tiên dần héo
người con gái cười quên
buồn tênh.

Có những ngày thời gian ngưng đọng trong một giấc chiêm bao
hoa hồng vàng chết lặng...
tiếng chim hót ngoài kia cũng hoá thành từng giọt nước mắt
người con gái cười ngẩn ngơ
bơ vơ.

Chẳng có ai hiểu hết nỗi đau của sự đợi chờ
không có ai tin tình yêu lại mang đến niềm tuyệt vọng
hoa hồng vàng bỏ rơi mình phía bên kia đời sống...
người con gái cười thiết tha
xót xa.

Có người trách tình yêu đừng gõ cửa ngôi nhà
thì hoa hồng vàng vẫn vàng tươi như từng có năm tháng...
thì người con gái cứ vô tư mà vui sống...
thì nắng, mưa, bão cũng chỉ như một mặt hồ thoáng xao động...
thì tiếng cười vẫn trong veo dù có lẫn nước mắt
hồn nhiên.

Rồi đôi lần trốn chạy khỏi ngôi nhà đã không còn bình yên
quặn lòng nhìn đến bao lần những tình nhân về qua phố
hoa hồng vàng rũ mình chào mùa gió
người con gái cười mịt mờ
xác xơ.

Và cuộc ra đi khi nắng chưa về trên thềm nhà
hoa hồng vàng ở lại...
tình yêu ở lại...
người con gái cười nói
ơ hờ.

Để thời gian đi hết bốn mùa
ngày người con gái trở lại...
hoa hồng vàng nơi ngôi nhà bỗng một sớm mai thức dậy
người con gái cười quen
cô đơn.

Những trang nhật kí được viết ra nhiều hơn
có buồn vui, có ray rứt...
hoa hồng vàng rũ những hạt sương và nhìn thấy nắng
người con gái cười khúc khích
bình yên?

Một ngày tình yêu lại gõ cửa
của ngôi nhà có hoa hồng vàng nở đã nhiều tháng năm
người con gái cười nghi ngại
chờ đợi.

Nào phải đâu hoa hồng vàng có lỗi
Nào phải đâu tình yêu làm trái tim con người đau nhói
Nào phải đâu những thiên thần bỏ mặc ngày người con gái tuyệt vọng trong mệt mỏi
Nào phải đâu cuộc đời
Nào phải đâu gian dối...
Nào phải đâu tất cả những điều đó
ngày người con gái biết yêu trở lại!",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Kh%C3%B4ng-ph%E1%BA%A3i-l%E1%BB%97i-c%E1%BB%A7a-hoa-h%E1%BB%93ng-v%C3%A0ng/poem-k-BzCH_YTpwpfnkIpYOj8w,Nguyễn Phong Việt
Chỉ những chiếc lá mới biết,"Có những năm tháng của chúng ta
rơi theo mùa lá trước hiên nhà
rơi không chạm đất
để những cuộc hồi sinh chưa bao giờ có thật
thì làm thế nào biết chúng ta trưởng thành hay mãi mãi trẻ con?
Thỉnh thoảng chúng ta đứng trong buổi chiều bình yên
giữa thành phố xa lạ
và tự hỏi giá như có thể
chọn lựa làm 1 chiếc lá vàng chạm đất
hay xanh tươi mãi trên đầu ngọn gió
chúng ta sẽ chọn lựa ra sao?

Có những mùa lá trước hiên nhà
theo năm tháng của chúng ta rơi về đâu
những chiếc lá vừa xanh non đã lìa cành
những chiếc lá sống đến úa vàng rồi rơi chạm đất
những chiếc lá vừa chớm niềm vui đã nhìn ra mất mát
những chiếc lá mà khổ đau song hành cùng hạnh phúc…
có ai biết?
Đôi khi chúng ta ngồi lại với bóng của mình
ngay giữa đám đông vội vã nhìn nuối tiếc
và tự hỏi giá như có thể
chọn lựa làm một chiếc lá giữa nắng mưa hay nép vào một góc nhỏ
chúng ta sẽ chọn lựa ra sao?

Có những mùa lá trước hiên nhà
theo năm tháng của chúng ta rơi thật mau
không kịp nhớ mình đã sống
những chiếc lá chưa bao giờ mọc ra
làm sao biết cảm giác chạm đất
những chiếc lá chưa bao giờ đi qua những ngày mưa
làm sao biết cảm giác của một tia nắng
những chiếc lá chưa bao giờ thật sự úa vàng
làm sao biết cảm giác của úa vàng (đã sống trọn một đời lá…) không hề là cay đắng…
làm sao biết cảm giác của tất cả những điều này?
Lúc nào đó chúng ta muốn rẽ ngang con đường đang bước đi
ngay khi hình dung về đích đến
và tự hỏi giá như có thể
chọn lựa làm một chiếc lá đúng nghĩa một chiếc lá hay một chiếc lá không có gì để nhớ
chúng ta sẽ chọn lựa ra sao?

Có những năm tháng của chúng ta rơi theo mùa lá trước hiên nhà
Nhìn- đẹp- biết- bao…
(còn chuyện chúng ta có chấp nhận trả giá để rơi chạm đất
có lẽ chỉ những chiếc lá mới biết….)?",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Ch%E1%BB%89-nh%E1%BB%AFng-chi%E1%BA%BFc-l%C3%A1-m%E1%BB%9Bi-bi%E1%BA%BFt/poem-20Ux3pm_n6cP9bgZo2mZ5A,Nguyễn Phong Việt
Chưa bao giờ và không bao giờ,"Chưa bao giờ và không bao giờ ta biết.
Trí nhớ trong ta từ đó có một người!
Một bàn tay mà nắm giữ cả cuộc đời.
Một tiếng cười mà âm vang trời rộng.
Một cái vén tóc mà điếng lòng bão nổi.
Chưa bao giờ và không bao giờ ta nghi ngờ điều luôn tự hỏi.
Có thể gặp hay không một thiên thần?
Sớm hay muộn thì nắng cũng sẽ lên.
Nhưng mưa vẫn còn nhiều vô hạn.
Xoay chiếc dù hướng nào thì đời ta cũng đã lỡ bị ướt.
Chưa bao giờ và không bao giờ ta tin được.
Những ngày nắng sẽ hong khô.

Chưa bao giờ và không bao giờ ta ngừng bơ vơ...",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Ch%C6%B0a-bao-gi%E1%BB%9D-v%C3%A0-kh%C3%B4ng-bao-gi%E1%BB%9D/poem-SiGnxU-gAOiBFXz3ZqcNxQ,Nguyễn Phong Việt
Nếu không muốn đi hết con đường...,"Nếu không muốn đi hết con đường...
Thì nên dừng lại trước lúc kịp hoàng hôn
không ai bắt ta phải sống cuộc đời cho người khác
muôn triệu tình yêu có muôn triệu lần đích đến
làm ơn đi mà!...

Khi ta khóc không cần ai lau nước mắt cho ta?
khi ta cười không cần ai chia sẻ?
cần một quãng đời tự do hơn là cần một hơi ấm mặc cả
hãy thử cắn chặt môi...

Giữa mùa đông đôi khi một cơn bão tuyết còn quí hơn một đốm lửa trong tim người
Giữa nỗi đau biết đâu lại tìm ra một sự bình yên khác
Giữa đêm đen cũng phải đến lúc tự ta làm ra ánh sáng
Giữa những ngày qua phố đôi khi cần một lần lạc bước
đi khỏi cuộc đời của mình...

Nếu không muốn đi hết con đường...
thì nên dừng lại, rồi bước đi một con đường khác bằng niềm tin
đừng bắt ta phải sống cho hạnh phúc của người khác
(khi hạnh phúc của ta chỉ là bề ngoài của những giọt nước mắt cay đắng
như một hạt mưa giữa trời nắng gắt...)
làm ơn đi mà!...

Làm ơn đi...
vẫn luôn có một người giang tay ôm chiếc bóng của ta
chờ tìm thấy một người trong đời thật
vẫn luôn có một người đau khi thấy ta hạnh phúc
mà vẫn tự đấm vào ngực mình khi biết ta đơn độc
nghiệt ngã đến tận cùng...

Không ai muốn mình sống mà chỉ được đứng bên cạnh đời người mình yêu thương
cũng chẳng ai muốn đày đọa mình trong mất mát
nhưng tình yêu nào cũng có cái giá xứng đáng...
sao không thử một lần đặt cược với trái tim?

Làm ơn đi mà...
vẫn luôn có một người chờ ta cùng thắp sáng trời đêm!",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/N%E1%BA%BFu-kh%C3%B4ng-mu%E1%BB%91n-%C4%91i-h%E1%BA%BFt-con-%C4%91%C6%B0%E1%BB%9Dng/poem-9Goy4r44JSl2g9UNSctxtw,Nguyễn Phong Việt
Mỗi ngày,"Những ngày bình thường
người con gái ấy ghé ngang và gào lên:
- ............ mở cửa!

Bẵng đi nhiều ngày giận hờn vội vã,
người con gái ấy ghé ngang và đưa tay
tần ngần...
nhịp gõ...

Đến một ngày không thể nhớ,
người con gái ấy ghé ngang
và lặng lẽ...
quay đi sau nhiều giây.

Cánh cửa từ đó,
mở ra trong trí nhớ một người
mỗi ngày...",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/M%E1%BB%97i-ng%C3%A0y/poem-tS07N5t1NsOKZn-NxRHZmg,Nguyễn Phong Việt
Từng có ngày như thế...,"Từng có ngày như thế
một người con gái mỉm cười lặng lẽ
""V. không phải là người xứng đáng với tôi!""
tôi chết lặng như cây non vừa nảy lá đã bật rễ

Không còn tin nước chảy - đá mòn dưới sông sâu
không còn tin đã bắt đầu thì cần thêm kết thúc
không còn tin thiên thần là phải có đôi cánh...

Từng có ngày như thế
một người con gái gào lên hăm hở
""V. không đủ sức mang lại hạnh phúc cho tôi!""
tôi chết lặng như đứa trẻ đánh rơi tờ tiền ăn sáng duy nhất ngày đó

Không còn tin qua bão giông đến trời nắng đổ
qua đêm lạnh dài sẽ thấy đốm lửa
qua cơn đau nụ cười lại nở...

Từng có ngày như thế
một người con gái cầm tay tôi rất khẽ
""V. không phải là lựa chọn của cuộc đời tôi!""
tôi chết lặng như người lữ hành giữa sa mạc rực rỡ
cuối cùng rồi cũng chạm tay vào dòng nước ngọt
và...trút hơi thở...

Đã hết tin trái tim còn đập trong lồng ngực mình nữa
hết tin mùa hoa cúc sẽ còn vàng trước mảnh sân nhỏ
hết tin tiếng chim hót trong những ban mai mát mẻ...

Từng có ngày như thế
một người con gái lay vai tôi xa lạ
""V. không phải là người tốt để tôi nương tựa!""
tôi chết lặng như đoá bồ công anh gục trước đầu ngọn gió
chẳng còn tin ai quanh mình cả
chẳng còn tin khái niệm tình yêu mà thiên hạ bảo nhau như kinh kệ
chẳng còn tin ai có cứu rỗi được ai như phép lạ...

Từng có ngày như thế...
Từng có nhiều ngày như thế...
Tôi không còn tin – Đã hết tin và cũng chẳng còn tin mình có thể làm người tốt được nữa...
(""V. không phải là người xứng đáng với tôi!""
""V. không đủ sức mang lại hạnh phúc cho tôi!""
""V. không phải là lựa chọn của cuộc đời tôi!""
""V. không phải là người tốt để tôi nương tựa!""

Tôi – Đúng – Là - Một - Người – Quá - Tệ...)",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/T%E1%BB%ABng-c%C3%B3-ng%C3%A0y-nh%C6%B0-th%E1%BA%BF/poem-V5npOYd0P_8OYkxAT_havg,Nguyễn Phong Việt
Ngoài giông bão,"Nói điều gì đó đi...
khi lát nữa chúng ta bước ra ngoài giông bão
rồi chết đi trong cuộc mưu sinh cơm áo
mà nào có hay...

Những ngày tuyệt vọng
đến nỗi đau cũng để lại dấu vân tay
khi chúng ta chạm vào nhau và thế gian ngoảnh mặt
tại sao không thể đánh đổi cả cuộc đời để yêu một người được
tại sao không?

Nói điều gì đó đi...
khi lát nữa chúng ta bước ra ngoài bão giông
rồi lạc lối ngay trong thiên đường đã tạo dựng
mà nào đâu biết...

Những ngày hạnh phúc
đến niềm vui cũng dặn ta phải cảm ơn mỗi sớm mai
còn thức dậy và thấy đời mưa nắng
tại sao không thể yêu một người trong tim đến bất diệt
tại sao không?

Chúng ta đã gặp nhau một lần, cùng đi một quãng đường, và yêu nhau đến chừng ấy tháng năm
bấy nhiêu đó đã đủ?
(nhưng chỉ bấy nhiêu đó thôi cũng khiến cuộc đời ta hóa thành tượng đá mất ngủ chỉ một lần yêu!)

Ngoài giông bão
mọi người có thể đi mà không cần thiết nhìn lại phía sau
bởi ai cũng cần phải sống
nhưng ta không thể nào không ngoảnh mặt
không thể bước đi khi trái tim đã sống bằng nhịp đập trong lồng ngực của một người khác
không thể bước đi khi biết người kia phải đi con đường khác
không thể bước đi khi ý nghĩa cuộc đời ta đã đánh mất
không thể bước đi khi biết rằng ta sống mà hạnh phúc không hơn là được cùng nhau chết
tại sao không thể nắm tay nhau đi trọn một con đường?

Nói điều gì đó đi...
Khi lát nữa ta sẽ thở hơi thở cuối cùng...
Ngoài giông bão
Liệu có bầu trời nào còn dành cho chúng ta không?",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/Ngo%C3%A0i-gi%C3%B4ng-b%C3%A3o/poem-nINjFieC6fqgoLNF1bRYLg,Nguyễn Phong Việt
Bên kia là nắng ấm,"Từ lúc ta biết nhìn lại và mỉm cười trên những mất mát
là khi ta biết mình bắt đầu sống một cuộc đời vô cảm
dù bên kia nắng ấm biết bao nhiêu...

Không ai mang những nỗi đau ra so sánh trong tình yêu
bởi vết thương nào trong tim người cũng không đáy
có người cần nỗi buồn để soi mình có trẻ dại
nhưng có những nỗi buồn làm bạc tóc con người ta mãi mãi
(như ta đang bạc tóc mỗi ngày...)

Bên kia là nắng ấm...
sao mưa gió còn siết chặt trên vai
khi người trở về với cuộc đời người từng sống
khi người ngồi trong ánh sáng (chứ không phải là bóng tối) mà vẫn thấy mình đơn độc
khi người giang tay ra mà trái tim khép chặt
khi người đau mà không thể khóc...
ta chỉ biết mỉm cười trong nước mắt!
(Lạy trời còn biết phải làm sao?)

Ta muốn đánh đổi với cuộc đời nhưng cuộc đời có cho ta đánh đổi đâu
ta muốn mang người ra khỏi vùng nắng ấm
giữa rét buốt ta đủ yêu thương để người vẫn sống
mà không cần mặt trời qua đây...

Bên kia là nắng ấm
nhưng ta biết trong lòng người chỉ có mưa bay...
(Vì có những tình yêu trong cuộc đời này không đến lần thứ hai!)",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/B%C3%AAn-kia-l%C3%A0-n%E1%BA%AFng-%E1%BA%A5m/poem-xWT19mKE5RM-gak2uDqvdw,Nguyễn Phong Việt
Bởi vì không thể quên...,"Bởi vì không thể quên
nên ta hiểu cảm giác của cả triệu người trên thế gian
đã từng yêu ai đó hơn chính bản thân mình!

Những tháng ngày chỉ cần sống cuộc đời bình thường
nấu cho nhau một bữa ăn
mua một viên thuốc khi người kia đau ốm
hay vuốt giùm sợi tóc bay ngang tầm mắt...
nhưng ta biết chẳng dễ gì bên cạnh người được
chẳng dễ gì có thể sẻ chia...

Đã bao giờ người muốn gọi tên ta
muốn ngủ mãi trong giấc mơ mà không thức giấc
muốn chối bỏ đời sống này vì mất đi tình yêu duy nhất
muốn giọt nước mắt cuối cùng sẽ rơi trên vai ta mà không là ai khác
muốn nhìn thấy ta hơn tất cả những hi vọng trên đời...

Chúng ta đã nhiều lần chết đi dù vẫn đang tồn tại giữa bao người
khi nhìn thấy nhau nhưng không cách nào bước tới
khi lướt qua nhau và nghe rõ nhịp tim của người kia đau nhói
khi rời xa nhau mà ngay cả ánh mắt cũng không bước đi nổi
xót xa nào hơn...

Người có biết mình mắc nợ chính bản thân mình
cứ mãi loay hoay tìm cho ra một điểm tựa
không phải con người này, không phải ngôi nhà này... mà là ở nơi đó
với một vòng tay bao dung!
 
Ta không hề muốn sống cuộc đời của những mẫu số chung
yêu một người và lấy một người khác...
rồi tự an ủi mình miễn là có một bờ vai bên cạnh
tự an ủi mình ai cũng giống như vậy thôi???

Người vẫn giữ cho riêng mình một khoảng trời
nhưng đã chôn giấu vào tận góc tâm hồn không có ánh sáng
người không muốn nhìn lại, không muốn rơi nước mắt...
dù trái tim mỗi ngày tự nó làm mưa tuôn...

Bởi vì không thể quên
nên (không chỉ riêng) ta không thể tự tha thứ được cho chính mình!",Đi qua thương nhớ (2012),https://www.thivien.net/Nguy%E1%BB%85n-Phong-Vi%E1%BB%87t/B%E1%BB%9Fi-v%C3%AC-kh%C3%B4ng-th%E1%BB%83-qu%C3%AAn/poem-js6w5LkZhkEzghqzALXGsQ,Nguyễn Phong Việt
